#,RSO Name,Category,Description,Blueprint URL
221,National Council of Negro Women - UChicago Collegiate Section,Political & Social,"Empowers Black women through leadership, advocacy, and service.",https://blueprint.uchicago.edu/organization/ncnw
222,National Society of Black Engineers,Academic & Professional,Supports Black students in engineering and technical disciplines.,https://blueprint.uchicago.edu/organization/nsbe
223,NEURO Club,Academic & Professional,Neuroscience interest and research club for undergraduates.,https://blueprint.uchicago.edu/organization/neuro
224,New Americans UChicago,Political & Social,Supports immigrant and refugee students and advocates for immigration justice.,https://blueprint.uchicago.edu/organization/new-americans
225,neXus Dance Collective,Arts & Music,Contemporary dance performance and choreography collective.,https://blueprint.uchicago.edu/organization/nexus
226,Nigerian Students Association,Cultural & International,Celebrates Nigerian culture and builds community among Nigerian students.,https://blueprint.uchicago.edu/organization/nsa
227,Occam's Razor,Academic & Professional,Philosophy and critical thinking discussion group.,https://blueprint.uchicago.edu/organization/occams-razor
228,Oeconomica,Academic & Professional,Undergraduate economics research journal and society.,https://blueprint.uchicago.edu/organization/oeconomica
229,Open Ultimate,Sports & Recreation,Co-ed ultimate frisbee team open to all students.,https://blueprint.uchicago.edu/organization/open-ultimate
230,Organization of Black Students,Cultural & International,"Central organization for Black student life, culture, and advocacy at UChicago.",https://blueprint.uchicago.edu/organization/obs
231,Organization of Latin American Students,Cultural & International,Promotes Latin American culture and supports Latino students.,https://blueprint.uchicago.edu/organization/olas
232,Orthodox Christian Fellowship,Spiritual & Religious,Eastern Orthodox Christian community at UChicago.,https://blueprint.uchicago.edu/organization/ocf
233,Out for Business,Academic & Professional,Supports LGBTQ+ students in business careers.,https://blueprint.uchicago.edu/organization/out-for-business
234,Outdoor Adventure Club,Sports & Recreation,"Organizes rock climbing, hiking, and other outdoor trips.",https://blueprint.uchicago.edu/organization/oac
235,OUTPatient,Health & Wellness,Advocates for LGBTQ+ health equity and supports queer students in medicine.,https://blueprint.uchicago.edu/organization/outpatient
236,Outside the Lines,Service & Philanthropy,Uses art therapy and creative programs to support at-risk youth.,https://blueprint.uchicago.edu/organization/outside-lines
237,Pakistan Students Association,Cultural & International,Celebrates Pakistani culture and builds community among Pakistani students.,https://blueprint.uchicago.edu/organization/psa
238,Paleontology Club,Academic & Professional,"Explores fossils, evolution, and the history of life on Earth.",https://blueprint.uchicago.edu/organization/paleo
239,Pan-Asian Martial Arts,Sports & Recreation,Practices various Asian martial arts traditions.,https://blueprint.uchicago.edu/organization/pama
240,PanAsian Solidarity Coalition,Political & Social,Advocates for pan-Asian solidarity and social justice.,https://blueprint.uchicago.edu/organization/pasc
241,Paragon Global Investments,Academic & Professional,Student investment fund focused on global equity markets.,https://blueprint.uchicago.edu/organization/paragon
242,Pareto Solutions,Academic & Professional,Pro-bono consulting for nonprofit and social enterprise organizations.,https://blueprint.uchicago.edu/organization/pareto
243,Paul Douglas Institute,Academic & Professional,Policy research and civic engagement organization.,https://blueprint.uchicago.edu/organization/paul-douglas
244,Pediatric Health and Wellness Initiative,Health & Wellness,Promotes child health and connects students with pediatric healthcare.,https://blueprint.uchicago.edu/organization/phwi
245,Pep Band,Arts & Music,Supports UChicago athletics with live music at sporting events.,https://blueprint.uchicago.edu/organization/pep-band
246,Persian Cultural Pantheon,Cultural & International,Promotes Persian culture and heritage at UChicago.,https://blueprint.uchicago.edu/organization/pcp
247,Phi Alpha Delta,Academic & Professional,Pre-law fraternity promoting legal education and civic engagement.,https://blueprint.uchicago.edu/organization/pad
248,Philosophy Review,Academic & Professional,Student philosophy journal publishing undergraduate philosophical work.,https://blueprint.uchicago.edu/organization/philosophy-review
249,Phoenix Development Fund,Academic & Professional,Student-run microfinance and development fund.,https://blueprint.uchicago.edu/organization/phoenix-dev
250,Phoenix Farms,Service & Philanthropy,Urban farming initiative promoting sustainable food practices.,https://blueprint.uchicago.edu/organization/phoenix-farms
251,Phoenix Funds,Academic & Professional,Student investment and financial literacy organization.,https://blueprint.uchicago.edu/organization/phoenix-funds
252,Phoenix Gaming,Social & Recreation,Video gaming and esports community at UChicago.,https://blueprint.uchicago.edu/organization/phoenix-gaming
253,Phoenix Survivors Alliance,Health & Wellness,Supports survivors of sexual assault and promotes campus safety.,https://blueprint.uchicago.edu/organization/psa-survivors
254,Phoenix Sustainability Initiative,Political & Social,Promotes environmental sustainability on campus and in the community.,https://blueprint.uchicago.edu/organization/phoenix-sustainability
255,Phoenix Tutoring,Service & Philanthropy,Provides free tutoring to UChicago and community students.,https://blueprint.uchicago.edu/organization/phoenix-tutoring
256,Phoenix Undergraduate Biological Sciences Organization,Academic & Professional,Community for undergraduate biology students.,https://blueprint.uchicago.edu/organization/pubso
257,Pickleball,Sports & Recreation,Recreational and competitive pickleball club.,https://blueprint.uchicago.edu/organization/pickleball
258,Platypus,Political & Social,Engages with the history and contemporary politics of the left.,https://blueprint.uchicago.edu/organization/platypus
259,Poema,Arts & Music,Spanish-language poetry and literary organization.,https://blueprint.uchicago.edu/organization/poema
260,Polish American Student Association,Cultural & International,Celebrates Polish and Polish-American culture at UChicago.,https://blueprint.uchicago.edu/organization/pasa
261,Prism Consulting,Academic & Professional,Consulting organization supporting LGBTQ+ inclusive business practices.,https://blueprint.uchicago.edu/organization/prism
262,Project Level the Field: University of Chicago,Service & Philanthropy,Promotes sports equity and access for underserved youth.,https://blueprint.uchicago.edu/organization/level-field
263,Project Reproductive Freedom,Political & Social,Advocates for reproductive rights and healthcare access.,https://blueprint.uchicago.edu/organization/prf
264,Promontory Investment Research,Academic & Professional,Student equity research and investment analysis organization.,https://blueprint.uchicago.edu/organization/promontory
265,Psychology Student's Organization (Graduate),Academic & Professional,Community and resources for graduate psychology students.,https://blueprint.uchicago.edu/organization/pso-grad
266,Public Policy Podcasts,Academic & Professional,Produces podcasts on public policy issues and research.,https://blueprint.uchicago.edu/organization/policy-podcasts
267,PULSE Magazine,Arts & Music,Student lifestyle and culture magazine.,https://blueprint.uchicago.edu/organization/pulse
268,Quad Capital Management,Academic & Professional,Student-run quantitative investment and trading organization.,https://blueprint.uchicago.edu/organization/quad-capital
269,Queer Student-Athletes and Allies,Political & Social,Supports LGBTQ+ student athletes and promotes inclusive sports culture.,https://blueprint.uchicago.edu/organization/qsaa
270,Real Estate Investment Group,Academic & Professional,Studies real estate markets and investment strategies.,https://blueprint.uchicago.edu/organization/reig
271,Reflection and Engagement with Latter-day Saint Identity and Culture,Spiritual & Religious,LDS/Mormon student community and faith organization.,https://blueprint.uchicago.edu/organization/relic
272,Remedy,Health & Wellness,Student health advocacy and medical access organization.,https://blueprint.uchicago.edu/organization/remedy
273,Rhythm & Jews,Arts & Music,Jewish a cappella singing group.,https://blueprint.uchicago.edu/organization/rhythm-jews
274,Rhythmic Bodies in Motion,Arts & Music,African and Caribbean dance and performance group.,https://blueprint.uchicago.edu/organization/rbm
275,RSO Peer Advisors,Campus Governance,Student advisors supporting other RSOs with resources and guidance.,https://blueprint.uchicago.edu/organization/rso-peer
276,Rugby (Women's),Sports & Recreation,Competitive women's club rugby union team.,https://blueprint.uchicago.edu/organization/womens-rugby
277,Run For Cover,Arts & Music,Student cover band and live music performance group.,https://blueprint.uchicago.edu/organization/run-for-cover
278,Rural Student Alliance,Political & Social,Advocates for rural students and promotes rural community issues.,https://blueprint.uchicago.edu/organization/rural
279,Russian-speaking Student Association,Cultural & International,Connects Russian-speaking students and promotes Russian culture.,https://blueprint.uchicago.edu/organization/rssa
280,Ryerson Astronomical Society,Academic & Professional,Astronomy and stargazing club for space enthusiasts.,https://blueprint.uchicago.edu/organization/ryerson-astro
281,Sailing Club,Sports & Recreation,Teaches sailing and competes in collegiate sailing regattas.,https://blueprint.uchicago.edu/organization/sailing
282,Saudi Student Association,Cultural & International,Connects Saudi students and promotes Saudi culture at UChicago.,https://blueprint.uchicago.edu/organization/ssa
283,Scavenger Hunt,Social & Recreation,Organizes UChicago's legendary annual campus-wide Scav Hunt competition.,https://blueprint.uchicago.edu/organization/scav
284,Scholars of Finance,Academic & Professional,Develops financial literacy and investment skills among students.,https://blueprint.uchicago.edu/organization/scholars-finance
285,Science Olympiad,Academic & Professional,Hosts Science Olympiad competitions for high school students.,https://blueprint.uchicago.edu/organization/science-olympiad
286,Seers of the Divine Revelation,Spiritual & Religious,Interfaith spiritual exploration and discussion group.,https://blueprint.uchicago.edu/organization/seers
287,SEVA Free Clinic,Health & Wellness,Student-run free clinic serving underserved South Asian communities.,https://blueprint.uchicago.edu/organization/seva
288,Sexual Assault Awareness and Prevention,Health & Wellness,Educates campus community and advocates for sexual violence prevention.,https://blueprint.uchicago.edu/organization/saap
289,Shotokan Karate,Sports & Recreation,Practices Shotokan-style traditional Japanese karate.,https://blueprint.uchicago.edu/organization/karate
290,Sikh Student Association,Spiritual & Religious,Sikh faith community promoting Sikh culture and values at UChicago.,https://blueprint.uchicago.edu/organization/sikh
291,Sin Guion: UChicago Spanish Improv,Arts & Music,Spanish-language improvisational comedy group.,https://blueprint.uchicago.edu/organization/sin-guion
292,Singapore Society,Cultural & International,Promotes Singaporean culture and connects Singaporean students.,https://blueprint.uchicago.edu/organization/singapore
293,Sliced Bread,Arts & Music,Student sketch comedy and humor group.,https://blueprint.uchicago.edu/organization/sliced-bread
294,Smart Woman Securities,Academic & Professional,Empowers women in finance and investing through education.,https://blueprint.uchicago.edu/organization/sws
295,Society for International Relations,Academic & Professional,"Studies global affairs, international law, and diplomacy.",https://blueprint.uchicago.edu/organization/sir
296,Society for Molecular Engineering,Academic & Professional,Promotes molecular engineering research and education.,https://blueprint.uchicago.edu/organization/sme
297,Society for the Advancement of Chicanos and Native Americans in STEM,Academic & Professional,Supports Chicano and Native American students in STEM fields.,https://blueprint.uchicago.edu/organization/sacnas
298,Society of Asian Scientists and Engineers,Academic & Professional,Professional development for Asian students in science and engineering.,https://blueprint.uchicago.edu/organization/sase
299,Society of Hispanic Professional Engineers,Academic & Professional,Supports Hispanic students in engineering and technical careers.,https://blueprint.uchicago.edu/organization/shpe
300,Society of Physics Students,Academic & Professional,"Physics community with talks, outreach, and professional development.",https://blueprint.uchicago.edu/organization/sps
301,Society of Women Engineers,Academic & Professional,Supports women in engineering through mentorship and networking.,https://blueprint.uchicago.edu/organization/swe
302,Society of Women in Physics,Academic & Professional,Community for women and gender minorities in physics.,https://blueprint.uchicago.edu/organization/swip
303,Society of Women+ in Math,Academic & Professional,Supports women and underrepresented groups in mathematics.,https://blueprint.uchicago.edu/organization/swm
304,South Asian Medical Student Association,Health & Wellness,Supports South Asian medical students and promotes culturally competent care.,https://blueprint.uchicago.edu/organization/samsa
305,South Asian Students' Association,Cultural & International,Celebrates South Asian cultures and builds community for South Asian students.,https://blueprint.uchicago.edu/organization/sasa
306,South Side Free Music Program,Service & Philanthropy,Provides free music lessons to youth on Chicago's South Side.,https://blueprint.uchicago.edu/organization/ssfmp
307,South Side Science Scholars,Service & Philanthropy,Promotes STEM education among youth on Chicago's South Side.,https://blueprint.uchicago.edu/organization/ssss
308,Southside Scribblers,Arts & Music,Creative writing and storytelling group.,https://blueprint.uchicago.edu/organization/scribblers
309,SPIE Student Chapter,Academic & Professional,Optics and photonics student chapter of the international SPIE organization.,https://blueprint.uchicago.edu/organization/spie
310,Splash! Chicago,Service & Philanthropy,Teaches enrichment classes to Chicago middle and high school students.,https://blueprint.uchicago.edu/organization/splash
311,Sports Analytics Group at the University of Chicago,Academic & Professional,Applies data analytics to sports performance and strategy.,https://blueprint.uchicago.edu/organization/saga
312,Student Global Health Alliance,Health & Wellness,Advocates for global health equity and sustainable development.,https://blueprint.uchicago.edu/organization/sgha
313,Student National Medical Association - Graduate,Health & Wellness,Supports underrepresented minority students in graduate health programs.,https://blueprint.uchicago.edu/organization/snma-grad
314,Student National Medical Association-Minority Association of Pre-Med Students,Health & Wellness,Supports minority pre-medical students through mentorship and resources.,https://blueprint.uchicago.edu/organization/maps
315,Students for Justice in Palestine,Political & Social,Advocates for Palestinian human rights and an end to occupation.,https://blueprint.uchicago.edu/organization/sjp
316,"Supplies For Dreams, University of Chicago Chapter",Service & Philanthropy,Collects school supplies for underserved youth in Chicago.,https://blueprint.uchicago.edu/organization/supplies-dreams
317,Sustainable Investing Group,Academic & Professional,Researches ESG investing and sustainability-focused finance.,https://blueprint.uchicago.edu/organization/sig
318,Table Tennis Club,Sports & Recreation,Recreational and competitive table tennis for all levels.,https://blueprint.uchicago.edu/organization/table-tennis
319,TableTop Tuesdays,Social & Recreation,Hosts weekly board game and tabletop RPG sessions.,https://blueprint.uchicago.edu/organization/tabletop
320,Tae Kwon Do Club,Sports & Recreation,"Practices Tae Kwon Do, a Korean martial art and Olympic sport.",https://blueprint.uchicago.edu/organization/tkd
321,Taiwanese American Student Association,Cultural & International,Celebrates Taiwanese American identity and culture.,https://blueprint.uchicago.edu/organization/tasa
322,Taiwanese Student Association,Cultural & International,Promotes Taiwanese culture and connects Taiwanese students.,https://blueprint.uchicago.edu/organization/tsa
323,TAMID Group,Academic & Professional,Connects students with Israeli startups and business through consulting.,https://blueprint.uchicago.edu/organization/tamid
324,Tap That!,Arts & Music,Tap dance performance and instruction group.,https://blueprint.uchicago.edu/organization/tap-that
325,Tech Savvy Friends,Service & Philanthropy,Teaches technology skills to senior citizens in the Chicago community.,https://blueprint.uchicago.edu/organization/tech-savvy
326,Tennis Club,Sports & Recreation,Recreational and competitive tennis for all levels.,https://blueprint.uchicago.edu/organization/tennis
327,Thai Student Association,Cultural & International,Promotes Thai culture and connects Thai students at UChicago.,https://blueprint.uchicago.edu/organization/thai
328,The Black Graduate Coalition,Cultural & International,Community and advocacy organization for Black graduate students.,https://blueprint.uchicago.edu/organization/bgc
329,The Chicago Skeptics Society,Academic & Professional,Promotes scientific skepticism and critical thinking.,https://blueprint.uchicago.edu/organization/skeptics
330,The Classics Society,Academic & Professional,Academic community for students of Greek and Latin language and literature.,https://blueprint.uchicago.edu/organization/classics
331,The Derivatives Group,Academic & Professional,"Focuses on derivatives markets, options, and quantitative finance.",https://blueprint.uchicago.edu/organization/derivatives
332,The Emergency Fund-Student Government,Campus Governance,Administers emergency financial assistance to students in need.,https://blueprint.uchicago.edu/organization/emergency-fund
333,The Glass Eyeball,Arts & Music,"Student journal of philosophy, literature, and the arts.",https://blueprint.uchicago.edu/organization/glass-eyeball
334,The Histones,Arts & Music,Science-themed a cappella singing group.,https://blueprint.uchicago.edu/organization/histones
335,The Mark,Arts & Music,Student visual arts and design publication.,https://blueprint.uchicago.edu/organization/the-mark
336,The Ransom Notes,Arts & Music,Co-ed a cappella group performing a range of musical styles.,https://blueprint.uchicago.edu/organization/ransom-notes
337,The South Side Free Clinic,Health & Wellness,Student-run free medical clinic serving South Side Chicago residents.,https://blueprint.uchicago.edu/organization/south-side-clinic
338,The Student Research Society,Academic & Professional,Supports undergraduate research across all disciplines.,https://blueprint.uchicago.edu/organization/srs
339,The Triple Helix,Academic & Professional,Publishes an undergraduate journal on science in society.,https://blueprint.uchicago.edu/organization/triple-helix
340,The University of Chicago Chapter of Partners in Health Engage,Health & Wellness,Advocates for global health equity inspired by Partners in Health.,https://blueprint.uchicago.edu/organization/pih
341,The University of Chicago Glee Club,Arts & Music,Mixed-voice choral ensemble performing classical and popular repertoire.,https://blueprint.uchicago.edu/organization/glee-club
342,The University of Chicago Golf Club,Sports & Recreation,Recreational golf club for students.,https://blueprint.uchicago.edu/organization/golf
343,The University of Chicago Mexican Association,Cultural & International,Promotes Mexican culture and supports Mexican students at UChicago.,https://blueprint.uchicago.edu/organization/ucma
344,The University of Chicago Sustainability Dialogue,Political & Social,Promotes campus sustainability through dialogue and advocacy.,https://blueprint.uchicago.edu/organization/sustainability-dialogue
345,The Visuals Series,Arts & Music,Curates visual art events and gallery exhibitions on campus.,https://blueprint.uchicago.edu/organization/visuals
346,Tiger Talks,Academic & Professional,Student speaker series and public talks organization.,https://blueprint.uchicago.edu/organization/tiger-talks
347,Tight Knit,Arts & Music,Student knitting and fiber arts community.,https://blueprint.uchicago.edu/organization/tight-knit
348,TriSCI,Academic & Professional,Undergraduate research and science communication organization.,https://blueprint.uchicago.edu/organization/trisci
349,Turkish Students Association,Cultural & International,Celebrates Turkish culture and connects Turkish students at UChicago.,https://blueprint.uchicago.edu/organization/turkish
350,Turning Point USA at UChicago,Political & Social,Conservative student advocacy organization.,https://blueprint.uchicago.edu/organization/tpusa
351,UC Dancers,Arts & Music,Diverse dance performance group showcasing multiple dance styles.,https://blueprint.uchicago.edu/organization/uc-dancers
352,UC Psych,Academic & Professional,Psychology student organization with research and community events.,https://blueprint.uchicago.edu/organization/uc-psych
353,UChicago Aag,Cultural & International,South Asian cultural and arts organization celebrating Desi culture.,https://blueprint.uchicago.edu/organization/aag
354,UChicago ABLE,Service & Philanthropy,Promotes disability awareness and inclusion on campus.,https://blueprint.uchicago.edu/organization/able
355,UChicago ACM,Academic & Professional,Student chapter of the Association for Computing Machinery.,https://blueprint.uchicago.edu/organization/acm
356,UChicago Air Force ROTC,Academic & Professional,Air Force officer training program for UChicago students.,https://blueprint.uchicago.edu/organization/rotc-af
357,UChicago Alt Protein Project,Academic & Professional,Explores alternative protein research and sustainable food systems.,https://blueprint.uchicago.edu/organization/alt-protein
358,UChicago Barbershop Harmony Club,Arts & Music,Performs traditional four-part barbershop harmony music.,https://blueprint.uchicago.edu/organization/barbershop
359,UChicago Behavioral Economics Association,Academic & Professional,Studies behavioral economics and its applications.,https://blueprint.uchicago.edu/organization/bea
360,UChicago Bhangra,Arts & Music,Competitive Punjabi Bhangra folk dance team.,https://blueprint.uchicago.edu/organization/bhangra
361,UChicago Biotechnology Association,Academic & Professional,Promotes biotechnology research and career development.,https://blueprint.uchicago.edu/organization/biotech
362,UChicago Buddhist Association,Spiritual & Religious,"Buddhist community for meditation, study, and practice.",https://blueprint.uchicago.edu/organization/buddhist
363,UChicago Ceramics,Arts & Music,Hands-on ceramics and pottery studio group.,https://blueprint.uchicago.edu/organization/ceramics
364,UChicago Chinese Opera Society,Arts & Music,Performs and promotes traditional Chinese opera.,https://blueprint.uchicago.edu/organization/chinese-opera
365,UChicago Coffee Lab,Social & Recreation,"Explores coffee science, brewing, and culture.",https://blueprint.uchicago.edu/organization/coffee-lab
366,UChicago Computational Biology Outreach,Academic & Professional,Promotes computational biology education and outreach.,https://blueprint.uchicago.edu/organization/comp-bio
367,UChicago Constructed Languages Society,Academic & Professional,Designs and studies constructed languages (conlangs).,https://blueprint.uchicago.edu/organization/conlang
368,UChicago Country Swing,Arts & Music,Teaches and practices country swing and western partner dancing.,https://blueprint.uchicago.edu/organization/country-swing
369,UChicago Credit Group,Academic & Professional,"Analyzes credit markets, fixed income, and debt instruments.",https://blueprint.uchicago.edu/organization/credit-group
370,UChicago Cyphers,Arts & Music,Hip-hop freestyle and cypher performance collective.,https://blueprint.uchicago.edu/organization/cyphers
371,UChicago Effective Altruism,Political & Social,Applies evidence and reason to find the highest-impact ways to help others.,https://blueprint.uchicago.edu/organization/ea
372,UChicago Energy & Climate Club,Academic & Professional,"Studies energy policy, climate science, and sustainability solutions.",https://blueprint.uchicago.edu/organization/energy-climate
373,UChicago Ethiopian And Eritrean Students Association,Cultural & International,Celebrates Ethiopian and Eritrean cultures and builds community.,https://blueprint.uchicago.edu/organization/eesa
374,UChicago Fed Challenge,Academic & Professional,Competes in the Federal Reserve's undergraduate economic analysis competition.,https://blueprint.uchicago.edu/organization/fed-challenge
375,UChicago Figure Skating,Sports & Recreation,Recreational and competitive figure skating club.,https://blueprint.uchicago.edu/organization/figure-skating
376,UChicago Financial Journal,Academic & Professional,Student journal publishing finance research and economic analysis.,https://blueprint.uchicago.edu/organization/financial-journal
377,UChicago Geographic Studies Club,Academic & Professional,"Studies geography, GIS, and spatial analysis.",https://blueprint.uchicago.edu/organization/geo-studies
378,UChicago Harm Reduction Project,Health & Wellness,Promotes harm reduction approaches to drug use and public health.,https://blueprint.uchicago.edu/organization/harm-reduction
379,UChicago Hillel,Spiritual & Religious,"Jewish student life organization offering Shabbat, culture, and community.",https://blueprint.uchicago.edu/organization/hillel
380,UChicago Kehillah,Spiritual & Religious,Jewish egalitarian prayer and community group at UChicago.,https://blueprint.uchicago.edu/organization/kehillah
381,UChicago M&A Group,Academic & Professional,"Studies mergers, acquisitions, and corporate finance.",https://blueprint.uchicago.edu/organization/ma-group
382,UChicago Mahjong,Social & Recreation,Recreational mahjong club for all skill levels.,https://blueprint.uchicago.edu/organization/mahjong
383,UChicago Majalla,Cultural & International,Arab student cultural and arts publication.,https://blueprint.uchicago.edu/organization/majalla
384,UChicago Maker Society,Academic & Professional,"Hands-on engineering, fabrication, and making community.",https://blueprint.uchicago.edu/organization/maker
385,UChicago Maya Dance Company,Arts & Music,Performs Mayan and Mesoamerican traditional dances.,https://blueprint.uchicago.edu/organization/maya-dance
386,UChicago Plus,Political & Social,LGBTQ+ student organization promoting queer community and advocacy.,https://blueprint.uchicago.edu/organization/uc-plus
387,UChicago Pre-Dental Society,Health & Wellness,Prepares students for dental school through mentorship and resources.,https://blueprint.uchicago.edu/organization/pre-dental
388,UChicago Private Equity Club,Academic & Professional,"Studies private equity, venture capital, and alternative investments.",https://blueprint.uchicago.edu/organization/pe-club
389,UChicago Quantum Society,Academic & Professional,"Explores quantum computing, quantum physics, and related research.",https://blueprint.uchicago.edu/organization/quantum
390,UChicago Quest+,Political & Social,LGBTQ+ advocacy and social community organization.,https://blueprint.uchicago.edu/organization/quest-plus
391,UChicago Rationality Group,Academic & Professional,Applies rationality principles and cognitive science to decision-making.,https://blueprint.uchicago.edu/organization/rationality
392,UChicago Road Runners,Sports & Recreation,Running club for recreational and competitive runners.,https://blueprint.uchicago.edu/organization/road-runners
393,UChicago Robotics,Academic & Professional,Designs and builds robots for competitions and research.,https://blueprint.uchicago.edu/organization/robotics
394,UChicago Romanian Student Association,Cultural & International,Promotes Romanian culture and connects Romanian students.,https://blueprint.uchicago.edu/organization/romanian
395,UChicago Roundnet Club,Sports & Recreation,Recreational and competitive Spikeball/Roundnet club.,https://blueprint.uchicago.edu/organization/roundnet
396,UChicago Smash,Social & Recreation,Super Smash Bros. competitive gaming community.,https://blueprint.uchicago.edu/organization/smash
397,UChicago Space Program,Academic & Professional,Designs and launches high-altitude balloons and small rockets.,https://blueprint.uchicago.edu/organization/space-program
398,UChicago Student Chapter of the Biophysical Society,Academic & Professional,Community for biophysics students and researchers.,https://blueprint.uchicago.edu/organization/biophysical
399,UChicago Survivor Production,Arts & Music,Produces a student-run Survivor reality competition show.,https://blueprint.uchicago.edu/organization/survivor
400,UChicago Synapse,Health & Wellness,Neuroscience and mental health advocacy organization.,https://blueprint.uchicago.edu/organization/synapse
401,UChicago Transit Enthusiasts & Explorers,Social & Recreation,"Celebrates public transit, urban planning, and transportation.",https://blueprint.uchicago.edu/organization/transit
402,UChicago Triathlon Club,Sports & Recreation,Trains and competes in collegiate triathlon events.,https://blueprint.uchicago.edu/organization/triathlon
403,UChicago UNICEF,Service & Philanthropy,Raises funds and awareness for UNICEF's global child welfare programs.,https://blueprint.uchicago.edu/organization/unicef
404,UChicago Vietnamese Student Association,Cultural & International,Celebrates Vietnamese culture and builds community for Vietnamese students.,https://blueprint.uchicago.edu/organization/vsa
405,UChicago Worldbuilders' Society,Arts & Music,Creates collaborative fictional worlds for writing and role-playing.,https://blueprint.uchicago.edu/organization/worldbuilders
406,UChicomics,Arts & Music,Comic art and graphic storytelling student organization.,https://blueprint.uchicago.edu/organization/uchicomics
407,UChicagOrigami,Arts & Music,Origami folding and paper art community.,https://blueprint.uchicago.edu/organization/origami
408,Ukrainian Society,Cultural & International,Promotes Ukrainian culture and supports Ukrainian students at UChicago.,https://blueprint.uchicago.edu/organization/ukrainian
409,Ultimate Frisbee (Women and Non-Binary),Sports & Recreation,Competitive ultimate frisbee team for women and non-binary students.,https://blueprint.uchicago.edu/organization/womens-ultimate
410,Undergraduate Investment Banking Group,Academic & Professional,Prepares students for investment banking careers through training.,https://blueprint.uchicago.edu/organization/uibg
411,Undergraduate Philosophy Club,Academic & Professional,Philosophical discussion and debate for undergraduate students.,https://blueprint.uchicago.edu/organization/upc
412,Undergraduate Student Government,Campus Governance,Central student government representing all UChicago undergraduates.,https://blueprint.uchicago.edu/organization/usg
413,United Against Inequities in Disease,Health & Wellness,Addresses health disparities and advocates for equitable healthcare.,https://blueprint.uchicago.edu/organization/uaid
414,University Ballet of Chicago,Arts & Music,Ballet performance ensemble presenting classical and contemporary works.,https://blueprint.uchicago.edu/organization/ballet
415,University Community Service Center,Service & Philanthropy,Connects students with community service opportunities across Chicago.,https://blueprint.uchicago.edu/organization/ucsc
416,University Ministry of Christ Church Chicago,Spiritual & Religious,Christian campus ministry associated with Christ Church Chicago.,https://blueprint.uchicago.edu/organization/umccc
417,University of Chicago Association of Peruvian Students,Cultural & International,Celebrates Peruvian culture and connects Peruvian students.,https://blueprint.uchicago.edu/organization/ucaps
418,University of Chicago City Planning,Academic & Professional,"Studies urban planning, design, and policy in Chicago.",https://blueprint.uchicago.edu/organization/city-planning
419,University of Chicago College Democrats,Political & Social,Progressive student political organization on campus.,https://blueprint.uchicago.edu/organization/college-dems
420,University of Chicago Japanese Animation Society,Social & Recreation,"Celebrates anime, manga, and Japanese pop culture.",https://blueprint.uchicago.edu/organization/anime
421,University of Chicago Ki-Aikido Club,Sports & Recreation,"Practices Ki-Aikido, a Japanese martial art emphasizing mind-body coordination.",https://blueprint.uchicago.edu/organization/ki-aikido
422,University of Chicago Music Forum,Arts & Music,"Hosts concerts, discussions, and programming on music appreciation.",https://blueprint.uchicago.edu/organization/music-forum
423,University of Chicago Southeast Asia Society,Cultural & International,Promotes Southeast Asian cultures and connects regional students.,https://blueprint.uchicago.edu/organization/seas
424,University of Chicago Undergraduate Law Magazine,Academic & Professional,Publishes undergraduate legal analysis and commentary.,https://blueprint.uchicago.edu/organization/law-magazine
425,University Theater,Arts & Music,"Full-scale theatrical productions including drama, comedy, and musicals.",https://blueprint.uchicago.edu/organization/ut
426,UROCK Climbing Club,Sports & Recreation,Rock climbing and bouldering club for all skill levels.,https://blueprint.uchicago.edu/organization/climbing
427,Veteran Scholar Association,Academic & Professional,Supports student veterans and promotes veteran community on campus.,https://blueprint.uchicago.edu/organization/vsa-veterans
428,Voices in Your Head,Arts & Music,Student a cappella group performing diverse musical genres.,https://blueprint.uchicago.edu/organization/voices
429,Volleyball,Sports & Recreation,Recreational and competitive club volleyball team.,https://blueprint.uchicago.edu/organization/volleyball
430,Vélo Club,Sports & Recreation,Cycling club for recreational and competitive riders.,https://blueprint.uchicago.edu/organization/velo
431,Water Polo,Sports & Recreation,Club water polo team open to all skill levels.,https://blueprint.uchicago.edu/organization/water-polo
432,WHPK,Arts & Music,UChicago's student-run FM radio station.,https://blueprint.uchicago.edu/organization/whpk
433,Windmill Chinese Drama Club,Arts & Music,Performs Chinese-language theatrical productions.,https://blueprint.uchicago.edu/organization/windmill
434,Women and Youth Supporting Each Other,Service & Philanthropy,Mentors young women and girls in the Chicago community.,https://blueprint.uchicago.edu/organization/wyse
435,Women in Business,Academic & Professional,Supports women in business through networking and professional development.,https://blueprint.uchicago.edu/organization/wib
436,Women in Economics,Academic & Professional,Promotes gender equity in economics education and careers.,https://blueprint.uchicago.edu/organization/wie
437,Women in Neuroscience,Academic & Professional,Supports women and underrepresented groups in neuroscience.,https://blueprint.uchicago.edu/organization/win
438,Women in Science,Academic & Professional,Encourages women in STEM through mentorship and community.,https://blueprint.uchicago.edu/organization/wis
439,Women Who Lift,Sports & Recreation,Empowers women in weightlifting and strength training.,https://blueprint.uchicago.edu/organization/wwl
440,Women+ in Chemistry,Academic & Professional,Supports women and underrepresented students in chemistry.,https://blueprint.uchicago.edu/organization/women-chem
